plant_id,Scientific_Name,Common_Name,Family,Traditional_System,Primary_Use,Toxicity_Level,Evidence_Level
a89e9efe-155f-49d3-b43b-1374f55a874c,Valeriana hvgkrhn,Silver Mediterranean Valeriana Powder (Skin),Asteraceae,Amazonian,Sleep,Low,Preclinical
c2743366-2414-4025-84e2-e48d9ba99134,Withania tgnguqw,Golden Andean Withania Seed (Cognitive),Apiaceae,Ayurveda,Liver,Low,Traditional
d75cbb5b-96d4-45ba-90b0-a9e86d9aee78,Phyllanthus puxxujq,Fragrant Atlas Phyllanthus Resin (Sleep),Euphorbiaceae,TCM,Sleep,High,Preclinical
bc6e11c8-569b-4ac6-b011-74e8c442d546,Rauwolfia yrymqjd,Bitter Atlas Rauwolfia Bark (Liver),Solanaceae,Amazonian,Metabolic,High,Preclinical
a088f345-00f2-471e-bec1-af9d062857f9,Silybum wafqfge,Fragrant Kerala Silybum Powder (Diabetes),Poaceae,Unani,Sleep,Moderate,Clinical
48942c76-d8e6-4c65-86bf-6e7de4f1ee58,Azadirachta oisrdgq,Black Amazon Azadirachta Root (Skin),Asteraceae,Western Herbal,Cardiovascular,Low,Preclinical
3e540fde-a2f7-4039-b0ae-d01f9b8cba3f,Aloe vjjmryz,Purifying Andean Aloe Infusion (Inflammation),Euphorbiaceae,African Traditional,Metabolic,High,Preclinical
1c0551a7-91ff-4a12-87bc-2c436b74c9f9,Withania knsbsvi,Desert Andean Withania Leaf (Diabetes),Poaceae,TCM,Cognitive,Low,Clinical
e145502f-adf9-4c6b-a85f-c550456ac065,Harpagophytum qchiudn,Purifying Kerala Harpagophytum Resin (Liver),Zingiberaceae,African Traditional,Cardiovascular,Moderate,Clinical
89987a32-6835-4b5c-a847-84deea9a6b7c,Lavandula drhdqla,Rare Andean Lavandula Flower (Liver),Poaceae,TCM,Cognitive,Moderate,Traditional
5efdb651-b1d6-4848-9c3e-688597f381c4,Trigonella hvvwxns,White Nile Trigonella Extract (Inflammation),Asteraceae,Ayurveda,Sleep,High,Preclinical
6190a7d2-a783-4359-9a04-4a39bbdd2602,Ficus juwinyp,Forest Himalayan Ficus Flower (Inflammation),Rosaceae,Amazonian,Respiratory,Low,Traditional
2ef8a108-d4e5-4c1c-9fa6-f8611c503f6e,Panax zhvqhgl,Wild Bengal Panax Elixir (Immune),Poaceae,Amazonian,Digestive,Moderate,Traditional
c8db00ce-10ec-4dfb-ba37-62c752d1f1c1,Gymnema afosiir,Mountain Atlas Gymnema Rhizome (Diabetes),Zingiberaceae,Unani,Skin,Moderate,Clinical
fad5c16a-a638-4b87-8d6a-7afdb8fac33a,Achillea vsxoqzx,Sacred Andean Achillea Fruit (Diabetes),Poaceae,Western Herbal,Immune,Moderate,Preclinical
